batiment_groupe_id,altitude_sol
69383000DZ0087_f90f4f41736320c,168.1
69202000AS0126_08cdbc0d9a499a7,286.0
69286000AL0231_96058d13d22ae5a,203.6
69294000AO0041_5896f7210aba3ad,169.6
63113000EY0308_7b5fac0aab72ede,396.0
63113000ES0107_ec5b724087a6877,358.0
69266000BB0340_643166ada262041,164.2
69290000CW0459_d377508e23c28ee,203.5
69290000CL0147_a2924ea78f75a55,224.0
69290000DE0705_7a4a8c97a9aa6ce,202.0
69278000AI0527_2f004a4b1f6ad18,202.2
69009000AM0247_2fa9daad75694e1,189.1
69275000AZ0793_dbe75c6ca01ad5c,185.6
69204000CE0046_7910577d389bca9,235.8
uf692040097772_126cd1a53a33fbb,237.6
69204000AT0263_c12fb29787af65f,247.7
69069000AD0265_39917b79093b687,280.3
69069000AB0279_e2a28bdb46169dd,286.6
69256000BD0250_fae668f5bb9ff5b,172.0
69256000AN0245_a37fbd96e56bdd8,173.7
uf692560126377_1d390ee0b5ee5d3,187.9
69256000BT0354_86ebd31b8084bd3,187.2
69091000AN0228_f4be60739980fc5,157.1
69091000AN0227_a37c4a9e39b98ca,157.1
69264000AN0331_8d81124a8115316,208.6
69264000AN0366_f64b530a4a1bfb7,195.0
69264000AH0054_d352bbfc5879b71,180.5
69264000AH0051_4df1c5cb4f6afa4,180.4
69264000AL0340_9de285daa701ddb,187.6
69264000AL0336_d47ef4ddf13ca43,192.4
69264000AL0211_ec04461acde3bf2,186.7
69264000AL0202_b54758d1a6c7d4f,192.4
69264000AL0202_b1d4df1e34a7035,192.4
69264000AL0159_96e69c1afdceee4,191.8
69264000AL0160_463b4d5e5c43b5a,196.1
69264000AL0156_9aebe5dd2dbcfdc,195.0
69264000AH0452_35e96a2ea960b9f,180.8
69264000AK0271_1c13d88050e5a58,194.1
69264000AC0703_0e547125d786325,196.9
69264000AB0278_c42122b1ffe1b38,197.3
69264000AN0116_7dfa703c73b8427,193.4
69264000AP0132_36ebc4c696de73b,183.0
69264000AP0024_5653614c1fd5720,185.5
69264000AN0427_0a6f3d516c488ef,198.0
69264000AN0116_9477573cec1ec1a,193.5
69264000AN0035_35ce019b7354402,196.6
69264000AH0040_b9ee7f07a845d94,180.5
69264000AC0478_34912d7d0c6aa65,197.5
69385000BK0087_3074af237f304d4,277.7
69385000BM0142_feb47af4b832680,272.8
69385000BK0090_a2135639fa21c63,278.0
69387000BW0001_67fed128c5c89e8,165.0
69387000BW0107_35c13f10f468587,165.1
69387000BZ0144_586f2638ba3419f,165.0
69385000BY0004_2a80ef1d61ffcb6,233.5
69382000AZ0193_944d9ba1850dcd6,165.6
69387000BO0054_429758724da88b7,165.1
69382000AS0016_fdca4b092625bff,167.9
69388000CK0040_c7e5d82ede06246,169.2
69387000BO0116_6e73d920440a35d,165.9
69383000AY0060_210956180d947c4,167.5
69387000AC0079_d08552cdb895bc5,167.0
69387000AE0098_dea57feb1a3319e,167.3
69385000BR0003_77a87a4763225a1,289.6
69387000AD0086_2c03c3738cde4db,167.9
69388000BS0013_75b80b5b936af06,171.8
69388000BV0055_9790c9711c4f6e2,172.8
69387000BK0056_6478799b22b11cc,170.9
69383000AY0090_f26e5f174c6414f,166.9
69387000AI0016_d09253555097a84,172.1
69382000AZ0033_bc0aaef98d44bb5,166.3
69387000BO0183_b3c7c1ccf029fe4,165.5
69383000AZ0215_3bca192ff774235,168.7
69383000DN0075_38e616f9235b750,172.0
69383000BK0036_2fd736d93d377f6,176.0
69383000BK0036_4d0f7c0aaa37f70,177.1
69383000DM0016_baa4dee09bf97a1,172.1
69383000BH0031_13416445677a530,170.9
69382000AS0052_b4c6cf8faf20c4d,166.6
69388000AP0134_e0c320ae818dfa0,175.2
69387000BD0062_981abba496c2f48,167.5
