batiment_groupe_id,code_departement_insee,code_commune_insee,libelle_commune_insee
01427000AD0154_08829cdb88adc35,1,1427,Trévoux
01376000AC0574_9225f70748067b8,1,1376.0,Saint-Maurice-de-Beynost
01427000AH0633_8424cc68f9a8d6b,1,1427.0,Trévoux
uf011940318933_2338a51f0121d69,1,1194.0,Jassans-Riottier
01427000AD0251_1fe8af3f3b10911,1,1427.0,Trévoux
uf012490321960_4c850b7ee230e4e,1,1249.0,Miribel
01249000AE0489_b48f9fc7ada9831,1,1249.0,Miribel
03310000AX0095_404e1dd219b92ad,3,3310.0,Vichy
38138000AE0793_c77fd1d2db2f4d4,38,38138.0,Crémieu
38193000DE0359_8bbd279f08ff777,38,38193.0,L'Isle-d'Abeau
385430000C0982_acad9d0239da1de,38,38543.0,Vézeronce-Curtin
385430000C1120_5347429e9f8e080,38,38543.0,Vézeronce-Curtin
uf380530027227_bfcd5d479b3af86,38,38053.0,Bourgoin-Jallieu
38544000BH0016_57d34614b20c5b8,38,38544.0,Vienne
38537000AD0562_97ac671c086891d,38,38537.0,La Verpillière
uf380870407538_da6fab480c3857a,38,38087.0,Chasse-sur-Rhône
42218000MW0090_da73742fc610f44,42,42218.0,Saint-Étienne
42218000HT0021_b9a0c8085f6b03a,42,42218.0,Saint-Étienne
63032000BC0354_2590497663d8d04,63,63032,Beaumont
63075000AC0658_c168bf0e949faf9,63,63075,Chamalières
63075000AD0329_9929ff6c52acf52,63,63075,Chamalières
63075000AE0375_91cb49ca9465798,63,63075,Chamalières
63075000AL0263_ecd217cd44998e4,63,63075,Chamalières
63075000AN0236_a0ef68e4cd05e78,63,63075,Chamalières
63080000ZM0342_292d9840369d6fd,63,63080,Champeix
63103000AM0523_eb0e9f9a6aaa03c,63,63103,Châtel-Guyon
63113000BY0275_32ca5c81c698d8c,63,63113,Clermont-Ferrand
63113000BZ0010_5af42d54ab33d4f,63,63113,Clermont-Ferrand
63113000EY0316_7fe47564094a2d3,63,63113,Clermont-Ferrand
63113000HO0320_26f80cbc4130226,63,63113,Clermont-Ferrand
63113000HO0341_0fc8c292b45a357,63,63113,Clermont-Ferrand
63113000HP0330_360fa334fb3ea3a,63,63113,Clermont-Ferrand
63113000HP0591_c9f1caa0ea972fb,63,63113,Clermont-Ferrand
63113000HR0019_1441e87fd333790,63,63113,Clermont-Ferrand
63113000HT0137_91c9253a057c9e5,63,63113,Clermont-Ferrand
63113000HV0038_3aef299b0822881,63,63113,Clermont-Ferrand
63113000HV0040_c990b96f1d53000,63,63113,Clermont-Ferrand
63113000HV0044_d0a8fc0bd874f84,63,63113,Clermont-Ferrand
63113000HV0083_1d51e7a5c2f5399,63,63113,Clermont-Ferrand
63113000HV0118_bdabca173dab77f,63,63113,Clermont-Ferrand
63113000HV0119_3e3a63068b549e6,63,63113,Clermont-Ferrand
63113000HW0132_639450293b40c63,63,63113,Clermont-Ferrand
63113000HW0246_a9199d5f9e2b3a6,63,63113,Clermont-Ferrand
63113000HW0236_56c9ab64117e7bc,63,63113,Clermont-Ferrand
63113000HW0351_3b5ecbdf3b5dcff,63,63113,Clermont-Ferrand
63113000HW0301_72f844ee9913601,63,63113,Clermont-Ferrand
63113000HW0306_2565db5c6a36e1b,63,63113,Clermont-Ferrand
63113000HW0327_8d02dee12023a1d,63,63113,Clermont-Ferrand
63113000HV0157_5cc29fc7fa0a417,63,63113,Clermont-Ferrand
63113000HY0110_ab9dc523d14a70f,63,63113,Clermont-Ferrand
63113000HY0074_303279d3c5972c2,63,63113,Clermont-Ferrand
63113000HZ0039_c5b41b342440259,63,63113,Clermont-Ferrand
63113000HZ0048_066475e933ac405,63,63113,Clermont-Ferrand
63113000IK0163_2506224a78cae74,63,63113,Clermont-Ferrand
63113000IR0264_93e77817921c836,63,63113,Clermont-Ferrand
63113000IT0183_ef3b3dd215c4623,63,63113,Clermont-Ferrand
63113000HV0164_9f46efbe0228cef,63,63113,Clermont-Ferrand
63113000IV0132_50d1312b76266ee,63,63113,Clermont-Ferrand
63113000IT0422_a4cb436465a593d,63,63113,Clermont-Ferrand
63113000KM0054_73b08c4672face8,63,63113,Clermont-Ferrand
63113000KP0010_250c40eee8d11b2,63,63113,Clermont-Ferrand
63113000LR0399_a57c4191b4fb560,63,63113,Clermont-Ferrand
63113000LY0483_378410582013f40,63,63113,Clermont-Ferrand
63124000BA0333_dd5d4f322445f23,63,63124,Cournon-d'Auvergne
63124000BR0572_7ce14afc363d3fe,63,63124,Cournon-d'Auvergne
63178000AB0446_f056531af1b8b11,63,63178,Issoire
63178000AC0071_d28cdcfe59b2f34,63,63178,Issoire
63178000AC0055_f1905113049e71a,63,63178,Issoire
63178000AC0116_f8f6f98a4142d43,63,63178,Issoire
63178000AB0399_85c2794b7ccd829,63,63178,Issoire
63178000AD0275_8300d8cd0d52d08,63,63178,Issoire
