batiment_groupe_id,s_hab
01427000AD0251_1fe8af3f3b10911,52.0
01427000AH0633_8424cc68f9a8d6b,60.0
uf012490321960_4c850b7ee230e4e,167.0
38138000AE0793_c77fd1d2db2f4d4,70.0
63032000BB0118_b811ab663cc5739,53.0
63069000AH0312_49166c6ca75b998,48.0
63075000AI0121_c73b1483bfb8ca7,60.0
63075000AL0704_2081f7026f9f981,38.0
63075000AN0236_a0ef68e4cd05e78,121.0
63069000AL0404_857fd6e7435b53c,43.0
630700000C1311_094d57671782e4b,82.0
63113000AI0205_22323e49761cdb6,60.0
63113000BY0275_32ca5c81c698d8c,46.0
63113000BZ0140_89c94cf0c69cc06,49.0
63075000AE0375_91cb49ca9465798,81.0
63075000AL0263_ecd217cd44998e4,61.0
63113000EK0535_ad6a87ebfa6f273,39.0
63113000EN0076_e294146fc0b9fce,72.0
63113000EO0287_2f547a90acce9e3,68.0
63113000ER0016_f49ea7464f0616b,29.0
63113000ES0107_ec5b724087a6877,33.0
63113000ES0112_ed7a8cc4f058de9,40.0
63113000ET0059_41ffce4a1b80096,21.0
63113000ET0325_6369a148794d5c0,30.0
63113000ET0359_67ec27348ab7374,85.0
63113000EX0156_3c8e2122bb06216,51.0
63113000HL0133_4b97000dc09a5a6,62.0
63113000HM0231_21f5bedf02d0288,400.0
63113000HO0311_53bbf8cf20c58a9,75.0
63113000HO0341_0fc8c292b45a357,68.0
63113000HP0591_c9f1caa0ea972fb,31.0
63113000HV0038_3aef299b0822881,42.0
63113000HV0040_c990b96f1d53000,74.0
63113000HV0083_1d51e7a5c2f5399,600.0
63113000HV0118_bdabca173dab77f,82.0
63113000HV0119_3e3a63068b549e6,79.0
63113000HV0164_9f46efbe0228cef,89.0
63113000BZ0010_5af42d54ab33d4f,43.0
63113000HW0365_745e197bdd7adbc,26.0
63113000HY0074_303279d3c5972c2,84.0
63113000IL0188_74cf996c8c85488,26.0
63113000IL0188_e310bc8407550fc,26.0
63113000EL0096_878e295d656927e,54.0
63113000EO0688_1de606a14c063a7,1253.0
63113000EO1246_6009e3c3b8bb021,19.0
63113000EV0016_6359a8a7cb2ccc5,1000.0
63113000EV0287_018898ae769af79,21.0
63113000EX0246_d5262d4e2bfa8ad,66.0
63113000EY0308_7b5fac0aab72ede,19.0
63113000EY0308_a76c8b18162bea0,19.0
63113000KN0075_2f11632c116d485,550.0
63113000LP0571_5e4a36a1b03dbc6,27.0
63113000LS0276_2d85f6baf5b1189,86.0
63113000LY0483_378410582013f40,43.0
63113000HP0493_c96df6fb8603343,32.0
63113000HR0178_0496a3762417657,38.0
63124000BS0335_bbf497252be4fa8,84.0
63113000HW0118_897405828450bc5,42.0
63113000HW0246_a9199d5f9e2b3a6,54.0
63113000HW0306_2565db5c6a36e1b,23.0
63113000HW0327_8d02dee12023a1d,41.0
63113000HY0110_ab9dc523d14a70f,39.0
63113000HZ0048_066475e933ac405,93.0
63113000IK0163_2506224a78cae74,43.0
63124000CL0512_a4eb068ecbba0c0,59.0
63113000IR0264_93e77817921c836,20.0
63113000IS0296_eded631e40886cd,135.0
63113000IT0027_edbdcc9455ec027,121.0
63113000IT0053_bbd6e67c58c55cb,1555.0
63113000IT0054_02f98692b7fada6,181.0
63113000IT0183_ef3b3dd215c4623,1086.0
63164000BV0179_212b0865c84767d,61.0
63178000AB0399_85c2794b7ccd829,80.0
63178000AB0457_b579a017ba63a0c,43.0
63178000AC0071_d28cdcfe59b2f34,34.0
63178000AC0551_244203a7db03347,51.0
63178000AE0096_68fa768b0b8c585,90.0
63178000AK0266_bad50066698945a,79.0
63178000AM0286_4d81f2687d6fa82,42.0
63178000AY0165_e3a5e844ca7cee1,64.0
63113000IZ0107_8d00e245a41b77a,56.0
63113000IZ0153_1136dddbed3e6db,28.0
63113000KL0214_811efdd22e60d94,38.0
63113000KL0214_c73a1d7f9c60908,38.0
63113000KM0054_73b08c4672face8,70.0
63113000KP0335_3b36c8e7b4f6b5d,95.0
63113000KR0364_ab685373e574cce,78.0
63124000AN0275_93e6012657dc421,58.0
63245000AP0133_15ac6a632e5f583,81.0
63300000BY0071_375faab58346d0c,127.0
63300000CD0231_4c01e3998d22e09,35.0
63307000AP0223_99a694954078270,65.0
63308000AI0087_f1325986f2db003,1417.0
63308000AI0566_ed7c8d745f645c2,67.0
63300000BW0076_28ef05c0ec96628,57.0
63300000BW0167_c5471718a546586,33.0
63300000BX0180_34afdb07c025160,85.0
63300000CE0180_7fd65f9bd2fa00b,38.0
69009000AM0247_2fa9daad75694e1,65.0
69019000AE0714_7862b06bbc0db4c,61.0
69027000BE0889_9c0e38d4e349fb3,38.0
690290000A0592_df107659a7d0753,93.0
690290000B2066_5c547ab5b381d8a,31.0
690290000B2588_5c96b319dbe95aa,148.0
690290000B2593_555d0aaacf659be,148.0
690290000B2594_42e903a537ad3b0,148.0
690290000B2649_0bb729ec0abe78c,148.0
690290000C1953_0cb63bd3230bb9a,44.0
690290000D1302_d81c7e050a6fa89,71.0
690290000F1169_abbe0546362add4,74.0
690290000F1578_d88007db1333d2b,103.0
69034000AC0296_bb8a6d5e11db5d2,76.0
69034000AC0317_89cefc41168b366,39.0
69034000AX0389_7e181542d82b4f5,89.0
69040000AI0310_03a5c398a357b5d,59.0
69040000AI0310_9574ab4edba6530,59.0
69044000AE0051_2e9cce0056f8338,80.0
69034000AP0249_e928d869816e2d8,25.0
69069000AB0279_e2a28bdb46169dd,85.0
69069000AD0265_39917b79093b687,71.0
69069000AD0266_4c2912f257c2d73,52.0
690810000B1028_10f6a4e42d44055,160.0
69034000BK0370_f471c547573f336,104.0
69089000BK0044_2e8c9a25990bd45,86.0
69089000BR0292_1ce9c6ffeef4f65,51.0
69091000AN0227_a37c4a9e39b98ca,86.0
69091000AN0228_f4be60739980fc5,86.0
690810000D1014_577ebff78e35934,91.0
690810000D1027_952c55dd8cdc17f,51.0
69088000AI0237_267840a052c635c,703.0
69149000AL0226_ec73adba8b1714a,23.0
69149000AE0150_78324bd9d061cc3,34.0
69149000AK0508_cbb22d597faa619,101.0
69149000AS0138_c48236f4ba5e51f,18.0
69152000AH0324_f86e13f0aa26779,45.0
69149000AL0226_399bc6263345fae,23.0
69142000AH0104_7c96433bc1ec3b1,49.0
69202000AD0143_06bdc184282bb52,102.0
69202000AE0040_ae551e01245b454,54.0
69202000AE0186_8a478d046093f52,105.0
69202000AE0216_09a1f565fab273b,78.0
69202000AE0361_2c34d2ef00bbcf9,121.0
69202000AY0240_8932c028aae8897,87.0
69204000AT0263_c12fb29787af65f,50.0
69204000CB0019_78878591cdc50f5,26.0
69244000AP0057_deba10cd0e7d949,88.0
69244000AS0497_b19bd3dbbb6df06,92.0
69244000AT0145_8e0532a0294c7ae,105.0
69202000AS0126_08cdbc0d9a499a7,93.0
69256000AP0004_8ce5f4f1b6f075e,47.0
69256000AT0442_56ef69c136872ea,58.0
69256000BD0250_fae668f5bb9ff5b,91.0
69244000AO0161_78ff1ff521db23a,73.0
69259000AT0041_12bf2100bccfddf,106.0
69264000AB0278_c42122b1ffe1b38,48.0
69244000AS0166_70d47492a680eaf,60.0
69264000AH0051_4df1c5cb4f6afa4,133.0
69264000AH0054_d352bbfc5879b71,90.0
69264000AK0373_b60f0fe21be7d0c,112.0
69264000AL0156_9aebe5dd2dbcfdc,88.0
69264000AL0159_96e69c1afdceee4,82.0
69264000AL0160_463b4d5e5c43b5a,71.0
69264000AL0211_ec04461acde3bf2,53.0
69264000AL0336_d47ef4ddf13ca43,111.0
69264000AL0340_9de285daa701ddb,57.0
69264000AN0116_7dfa703c73b8427,19.0
69264000AN0116_9477573cec1ec1a,19.0
69264000AN0331_8d81124a8115316,60.0
69256000BT0354_86ebd31b8084bd3,65.0
69264000AP0024_5653614c1fd5720,39.0
69266000AN0144_d0bc6af65873e40,42.0
69266000AT0285_a6abc74fb6dfd6f,29.0
69264000AC0478_34912d7d0c6aa65,82.0
69264000AC0703_0e547125d786325,59.0
69264000AH0040_b9ee7f07a845d94,77.0
69266000BB0340_643166ada262041,26.0
69266000BC0365_9c185808e6050ff,48.0
69266000BC0557_8f0c44aa67b2662,72.0
69266000BE0089_392b154505f1bd9,22.0
69266000BE0215_4ee95d639782d83,42.0
69266000BI0029_25aba98a64fb56a,20.0
69266000BK0121_fbeef6de3374368,75.0
69266000BL0217_1360823642b0412,35.0
69266000BL0323_774300a422d03de,37.0
69266000BM0033_214ffae1c54a032,62.0
69266000BM0125_2595a012feaaa1e,46.0
69266000BN0031_d95310b7b11dc5e,57.0
69266000BN0086_edb411d396b890d,90.0
69264000AK0271_1c13d88050e5a58,51.0
69264000AN0035_35ce019b7354402,65.0
69264000AN0036_f6d515a5d73e096,91.0
