batiment_groupe_id,type_batiment_dpe,periode_construction_dpe,annee_construction_dpe,nombre_niveau_immeuble,surface_habitable_immeuble,surface_habitable_logement,conso_5_usages_ep_m2,classe_bilan_dpe,classe_conso_energie_arrete_2012,type_installation_chauffage,type_energie_chauffage,type_generateur_chauffage,type_generateur_chauffage_anciennete,type_installation_ecs,type_energie_ecs,type_generateur_ecs,type_generateur_ecs_anciennete,type_ventilation,type_vitrage,type_materiaux_menuiserie,vitrage_vir,surface_vitree_nord,surface_vitree_sud,surface_vitree_ouest,surface_vitree_est,surface_mur_exterieur,l_local_non_chauffe_mur,l_orientation_mur_exterieur,surface_plancher_bas_totale,type_porte
01427000AD0251_1fe8af3f3b10911,appartement,avant 1948,,,,52.49,249.0,D,,individuel,electricite,generateurs a effet joule,,individuel,electricite,ballon accumulation electrique,,Ventilation mécanique auto réglable « après 1982 »,double vitrage,bois,0.0,2.48,2.48,2.48,4.96,55.91,"[ ""circulation avec ouverture directe sur l'extérieur"" ]","[ ""est"", ""nord"", ""sud"" ]",52.49,porte simple en métal porte avec vitrage simple
01427000AH0633_8424cc68f9a8d6b,appartement,2013-2021,2014.0,,,,,,B,individuel,gaz,chaudiere gaz condensation,,individuel,gaz,chaudiere gaz condensation,,Ventilation mécanique à extraction et entrées d’air hygroréglables,double vitrage,pvc,,0.0,8.19,0.0,0.0,0.0,,,,
uf012490321960_4c850b7ee230e4e,maison,1978-1982,1978.0,,,,,,C,individuel,gaz,chaudiere gaz standard,,individuel,gaz,chaudiere gaz standard,,Ventilation par ouverture des fenêtres,double vitrage,bois,,0.0,9.6,11.15,3.65,202.6,,,102.5,
38138000AE0793_c77fd1d2db2f4d4,appartement,avant 1948,1947.0,,,111.0,238.0,E,,individuel,fioul,chaudiere fioul standard,très ancien,individuel,electricite,ballon accumulation electrique,,Système de ventilation par entrées d’air hautes et basses,double vitrage,bois,0.0,,,8.82,6.69,32.6,,"[ ""est"", ""ouest"" ]",112.0,porte simple en bois porte opaque pleine
63113000IS0296_eded631e40886cd,appartement,2013-2021,2012.0,,3000.0,228.71,127.0,C,,collectif,gaz,chaudiere gaz condensation,récent(<15ans),collectif,gaz,chaudiere gaz condensation,récent(<15ans),Ventilation mécanique à extraction hygroréglable,double vitrage,pvc,1.0,11.15,19.3,,,106.56,"[ ""circulation sans ouverture directe sur l'extérieur"" ]","[ ""nord"", ""sud"" ]",114.0,porte simple en bois porte avec double vitrage
63113000EX0246_d5262d4e2bfa8ad,appartement,2006-2012,2011.0,1.0,62.0,62.0,194.0,D,,individuel,electricite,generateurs a effet joule,,individuel,electricite,ballon accumulation electrique,,Ventilation mécanique à extraction hygroréglable,double vitrage,pvc,1.0,11.14,,,,31.835,,"[ ""sud"" ]",63.0,porte simple en bois porte opaque pleine
63113000EV0016_6359a8a7cb2ccc5,appartement,1948-1974,1970.0,,,49.13,199.329365167099,D,,individuel,gaz,chaudiere gaz standard,ancien,individuel,gaz,chaudiere gaz standard,ancien,Ventilation naturelle par conduit,double vitrage,pvc,0.0,,,4.52,9.04,18.46,"[ ""locaux non chauffés non accessible"" ]","[ ""est"", ""ouest"" ]",,porte simple en bois porte opaque pleine
63069000AH0312_49166c6ca75b998,appartement,1948-1974,1971.0,,,61.15,237.0,E,,individuel,gaz,chaudiere gaz standard,récent(<15ans),individuel,gaz,chaudiere gaz standard,récent(<15ans),Ventilation naturelle par conduit,double vitrage,pvc,0.0,,,3.3,6.08,24.96,"[ ""circulation avec ouverture directe sur l'extérieur"" ]","[ ""est"", ""ouest"" ]",61.15,porte simple en bois porte opaque pleine
63113000IL0188_74cf996c8c85488,appartement,avant 1948,,,,18.73,313.0,E,,individuel,electricite,generateurs a effet joule,,individuel,electricite,ballon accumulation electrique,,Ventilation mécanique auto réglable « après 1982 »,double vitrage,métal avec rupture de pont thermique,0.0,,,,5.51,4.73,"[ ""circulation avec ouverture directe sur l'extérieur"" ]","[ ""est"" ]",18.73,toute menuiserie porte opaque pleine isolée
63113000IL0188_e310bc8407550fc,appartement,avant 1948,,,,18.73,313.0,E,,individuel,electricite,generateurs a effet joule,,individuel,electricite,ballon accumulation electrique,,Ventilation mécanique auto réglable « après 1982 »,double vitrage,métal avec rupture de pont thermique,0.0,,,,5.51,4.73,"[ ""circulation avec ouverture directe sur l'extérieur"" ]","[ ""est"" ]",18.73,toute menuiserie porte opaque pleine isolée
