batiment_groupe_id,annee_construction,mat_toit_txt
01427000AD0251_1fe8af3f3b10911,2003.0,INDETERMINE
01427000AH0633_8424cc68f9a8d6b,2014.0,INDETERMINE
uf011940318933_2338a51f0121d69,1946.0,
uf012490321960_4c850b7ee230e4e,1950.0,TUILES
38138000AE0793_c77fd1d2db2f4d4,1700.0,TUILES
385430000C0982_acad9d0239da1de,2014.0,INDETERMINE
63019000AD0688_bd56191e9a8b37f,2016.0,INDETERMINE
63032000BB0118_b811ab663cc5739,1971.0,
63069000AH0312_49166c6ca75b998,1972.0,BETON
63069000AL0404_857fd6e7435b53c,2010.0,INDETERMINE
630700000C1311_094d57671782e4b,2013.0,INDETERMINE
630700000C1311_5f44317e3c31e29,2014.0,INDETERMINE
63075000AE0375_91cb49ca9465798,1947.0,TUILES
63075000AI0121_c73b1483bfb8ca7,1953.0,ARDOISES
63075000AL0263_ecd217cd44998e4,1957.0,
63075000AL0704_2081f7026f9f981,1966.0,BETON
63075000AN0236_a0ef68e4cd05e78,1954.0,
63075000XA0455_cbf6bd93382d659,1993.0,
63113000AI0205_22323e49761cdb6,1965.0,ZINC ALUMINIUM
63113000BY0275_32ca5c81c698d8c,1972.0,
63113000BZ0010_5af42d54ab33d4f,1940.0,TUILES
63113000BZ0140_89c94cf0c69cc06,1920.0,
63113000CE0063_8d332bc6923688b,1967.0,
63113000EL0096_878e295d656927e,1960.0,
63113000EK0535_ad6a87ebfa6f273,2013.0,INDETERMINE
63113000EN0076_e294146fc0b9fce,1972.0,INDETERMINE
63113000EO0287_2f547a90acce9e3,1961.0,BETON
63113000EO0688_1de606a14c063a7,1972.0,BETON
63113000EO1246_6009e3c3b8bb021,1992.0,INDETERMINE
63113000ER0016_f49ea7464f0616b,1971.0,BETON
63113000ES0107_ec5b724087a6877,1974.0,INDETERMINE
63113000ES0112_ed7a8cc4f058de9,1914.0,TUILES
63113000ET0059_41ffce4a1b80096,1963.0,TUILES
63113000ET0359_67ec27348ab7374,,INDETERMINE
63113000ET0325_6369a148794d5c0,1930.0,INDETERMINE
63113000EV0016_6359a8a7cb2ccc5,1969.0,BETON
63113000EW0030_db305d904da4d04,,
63113000EV0287_018898ae769af79,1975.0,INDETERMINE
63113000EX0246_d5262d4e2bfa8ad,2011.0,INDETERMINE
63113000EX0156_3c8e2122bb06216,1930.0,TUILES
63113000EX0156_bfe3ae74230c7f2,,
63113000EX0156_e3d5cecd55a5089,,
63113000EY0308_7b5fac0aab72ede,1975.0,INDETERMINE
63113000EY0308_a76c8b18162bea0,,INDETERMINE
63113000EY0316_7fe47564094a2d3,,
63113000HL0133_4b97000dc09a5a6,1972.0,BETON
63113000HM0231_21f5bedf02d0288,1964.0,BETON
63113000HO0311_53bbf8cf20c58a9,1972.0,BETON
63113000HO0341_0fc8c292b45a357,1959.0,BETON
63113000HP0143_5124087453b7f68,,
63113000HP0493_c96df6fb8603343,1977.0,BETON
63113000HP0591_c9f1caa0ea972fb,1912.0,TUILES
63113000HR0186_671f728afe2e454,1750.0,ARDOISES
63113000HR0178_0496a3762417657,1971.0,INDETERMINE
63113000HV0038_3aef299b0822881,1928.0,TUILES
63113000HV0040_c990b96f1d53000,1930.0,
63113000HV0118_bdabca173dab77f,1912.0,TUILES - ZINC ALUMINIUM
63113000HV0119_3e3a63068b549e6,1910.0,TUILES
63113000HV0083_1d51e7a5c2f5399,1977.0,INDETERMINE
63113000HV0164_9f46efbe0228cef,1956.0,TUILES
63113000HW0327_8d02dee12023a1d,1910.0,ARDOISES - TUILES
63113000HW0246_a9199d5f9e2b3a6,1937.0,TUILES
63113000HW0306_2565db5c6a36e1b,1910.0,TUILES
63113000HW0365_745e197bdd7adbc,2002.0,TUILES
63113000HY0074_303279d3c5972c2,1972.0,
63113000HW0118_897405828450bc5,,INDETERMINE
63113000HY0110_ab9dc523d14a70f,1840.0,TUILES
63113000HW0318_8eb08b3bd98780a,1850.0,INDETERMINE
63113000HZ0048_066475e933ac405,1900.0,
63113000IK0163_2506224a78cae74,1600.0,
63113000IL0188_74cf996c8c85488,1889.0,TUILES
63113000IL0188_e310bc8407550fc,1889.0,TUILES
63113000IS0296_eded631e40886cd,2013.0,INDETERMINE
63113000IT0024_78f5f961a8c3c98,,
63113000IT0027_edbdcc9455ec027,1935.0,
63113000IR0264_93e77817921c836,1994.0,INDETERMINE
63113000IT0053_bbd6e67c58c55cb,1970.0,INDETERMINE
63113000IT0054_02f98692b7fada6,1972.0,BETON
63113000IT0183_ef3b3dd215c4623,1935.0,BETON
63113000IV0502_eae65e3e1ef7836,1800.0,TUILES
63113000IZ0107_8d00e245a41b77a,,TUILES
63113000IZ0153_1136dddbed3e6db,1995.0,INDETERMINE
63113000KM0054_73b08c4672face8,1955.0,TUILES
63113000KM0040_1d65a646337744f,,
63113000KM0040_628a946d8e834a0,,
63113000KL0214_c73a1d7f9c60908,1972.0,BETON
63113000KN0075_2f11632c116d485,,INDETERMINE
63113000KN0075_3439f06ace51071,,
63113000KL0214_811efdd22e60d94,1972.0,BETON
63113000KP0010_250c40eee8d11b2,2019.0,INDETERMINE
