batiment_groupe_id,distance_batiment_historique_plus_proche
01427000AD0154_08829cdb88adc35,157
01427000AH0633_8424cc68f9a8d6b,403
01427000AD0251_1fe8af3f3b10911,29
03310000AX0095_404e1dd219b92ad,299
38138000AE0793_c77fd1d2db2f4d4,123
uf380530027227_bfcd5d479b3af86,389
38537000AD0562_97ac671c086891d,327
42218000MW0090_da73742fc610f44,304
42218000HT0021_b9a0c8085f6b03a,365
63032000BC0354_2590497663d8d04,461
63075000AD0329_9929ff6c52acf52,391
63075000AE0375_91cb49ca9465798,311
63075000AL0263_ecd217cd44998e4,292
63075000AN0236_a0ef68e4cd05e78,413
63103000AM0523_eb0e9f9a6aaa03c,247
63113000BY0275_32ca5c81c698d8c,81
63113000BZ0010_5af42d54ab33d4f,69
63113000HO0320_26f80cbc4130226,456
63113000HP0330_360fa334fb3ea3a,419
63113000HP0591_c9f1caa0ea972fb,252
63113000HR0019_1441e87fd333790,234
63113000HT0137_91c9253a057c9e5,394
63113000HV0038_3aef299b0822881,391
63113000HV0040_c990b96f1d53000,407
63113000HV0044_d0a8fc0bd874f84,423
63113000HV0083_1d51e7a5c2f5399,469
63113000HV0118_bdabca173dab77f,296
63113000HV0119_3e3a63068b549e6,427
63113000HW0132_639450293b40c63,313
63113000HW0246_a9199d5f9e2b3a6,495
63113000HW0236_56c9ab64117e7bc,455
63113000HW0351_3b5ecbdf3b5dcff,408
63113000HW0301_72f844ee9913601,398
63113000HW0306_2565db5c6a36e1b,479
63113000HW0327_8d02dee12023a1d,214
63113000HV0157_5cc29fc7fa0a417,483
63113000HY0110_ab9dc523d14a70f,234
63113000HY0074_303279d3c5972c2,459
63113000HZ0039_c5b41b342440259,293
63113000HZ0048_066475e933ac405,135
63113000IK0163_2506224a78cae74,424
63113000IR0264_93e77817921c836,419
63113000IT0183_ef3b3dd215c4623,126
63113000HV0164_9f46efbe0228cef,418
63113000IV0132_50d1312b76266ee,354
63113000IT0422_a4cb436465a593d,226
63113000KM0054_73b08c4672face8,350
63113000LY0483_378410582013f40,318
63178000AB0446_f056531af1b8b11,183
63178000AC0071_d28cdcfe59b2f34,108
63178000AC0055_f1905113049e71a,79
63178000AC0116_f8f6f98a4142d43,395
63178000AB0399_85c2794b7ccd829,175
63178000AD0275_8300d8cd0d52d08,255
63178000AE0096_68fa768b0b8c585,261
63178000AI0091_8559a662624cd6c,448
63178000AK0065_c5f90c2d6591e51,315
63178000AL0368_974b70911f8afad,385
63178000AM0286_4d81f2687d6fa82,480
63245000AP0133_15ac6a632e5f583,402
63300000AV0139_109460128b1a867,181
63300000BT0243_f6e8ff8728f0de2,376
63300000BW0222_bc8f564681ba98a,496
63300000BW0076_28ef05c0ec96628,362
63300000BW0167_c5471718a546586,494
63300000BX0015_afb08a2bfcf317d,221
63300000BX0065_cecdce94689d8ae,152
63300000BX0110_b4f289ceafc1a3f,370
63300000BX0180_34afdb07c025160,479
63300000BZ0128_2bab59636400398,158
63300000CE0180_7fd65f9bd2fa00b,286
63300000CD0231_4c01e3998d22e09,165
63300000CD0233_059a42ac743aa28,144
63308000AI0123_0d91b87e5c5748a,289
63308000AI0437_12a40486d3199dc,146
63308000AI0566_ed7c8d745f645c2,37
uf631780311064_f7baa1e4e3f601a,60
63113000EV0016_6359a8a7cb2ccc5,336
63113000HW0318_8eb08b3bd98780a,280
63113000IT0180_38729015a73c658,424
63178000AB0457_b579a017ba63a0c,106
63178000AC0095_4d53946f64a8dc8,134
63178000AH0084_e203d03eefb50a2,269
63178000AE0112_e0e2b94f3d25c64,366
63300000BW0572_9e4f29eb82ccdaf,450
63113000HP0088_d24e70a99ffe60f,288
63178000AI0157_0c69b094c43019f,427
63075000AI0537_885161039fd16fc,497
63113000BZ0036_1e9084fb334d5b4,422
63113000EP0058_099b3058c775d73,362
63113000ET0059_41ffce4a1b80096,325
63113000ET0359_67ec27348ab7374,364
63113000EV0190_e3708b934e0fc6a,228
63113000HL0133_4b97000dc09a5a6,236
63113000HO0311_53bbf8cf20c58a9,494
63113000HP0493_c96df6fb8603343,397
63113000HW0089_669f0f713a8be0c,462
63113000HW0107_fd80af8b5ef6f32,412
63113000HW0163_ecebe6927ed4207,438
63113000HW0365_745e197bdd7adbc,155
63113000HV0075_d652e184c52ffaa,319
63113000HR0178_0496a3762417657,498
63113000IS0252_9770af300e2612e,452
63113000IT0027_edbdcc9455ec027,280
63113000IR0246_d89a26a05ff038b,325
63113000IT0414_f24e61129dc7e15,447
63113000LS0276_2d85f6baf5b1189,454
63113000LX0267_5832a61ff57540b,213
63178000AC0199_783281ff513766f,441
63178000AT0263_2089fd972db0ef4,103
63178000AY0165_e3a5e844ca7cee1,306
63236000AC0463_36617d50d9bb241,2
63300000BY0071_375faab58346d0c,217
63300000BW0557_52d29812bf20139,173
63300000BX0164_16800eea540e345,146
63032000BB0118_cae77a0e03e52e4,478
63032000BB0118_b811ab663cc5739,481
63075000AI0121_f696fe193bbc6da,340
63075000AI0121_c73b1483bfb8ca7,333
63113000BZ0140_89c94cf0c69cc06,233
63113000EV0033_7cef4a6af90fa83,95
63113000EV0287_018898ae769af79,386
63113000EW0030_db305d904da4d04,409
63113000EW0030_9e79ee56af40ba5,489
63113000EW0030_7008719a8d7d870,477
63113000HP0143_05a0e57c435f9b5,437
63113000HP0143_5124087453b7f68,432
63113000HR0186_671f728afe2e454,481
63113000HV0161_beccb067b940586,122
63113000HW0118_456bb98b937ffb1,375
63113000HW0118_897405828450bc5,466
63113000IL0188_e310bc8407550fc,370
63113000IL0188_74cf996c8c85488,475
63113000IT0024_72a8f669f514ef7,15
63113000IT0024_78f5f961a8c3c98,370
63113000IZ0153_1136dddbed3e6db,336
63113000KL0214_811efdd22e60d94,175
63113000KL0214_c73a1d7f9c60908,356
63113000KM0040_628a946d8e834a0,463
63113000KM0040_1d65a646337744f,355
63113000KM0040_8e0da770c7d0ea1,474
63113000KN0040_1a0815741cb962b,361
63113000KN0075_3439f06ace51071,440
63113000KN0075_2f11632c116d485,423
63113000LN0101_78af095bec87646,389
63178000AC0551_3fbdd222c64af96,36
63178000AC0551_244203a7db03347,258
63178000AK0266_bad50066698945a,433
63178000AX0139_c69ed716446dc82,485
63308000AI0087_f1325986f2db003,372
63308000AI0087_3e1db1d334f8d8b,386
uf631780097973_399500531e79a54,128
63075000AH0103_3d41f5c145a1eeb,259
63075000AL0704_2081f7026f9f981,146
63069000AH0312_49166c6ca75b998,258
63113000IT0054_02f98692b7fada6,142
63113000ET0325_6369a148794d5c0,391
63113000EV0015_ec3ca5b24caf64d,297
63113000HV0223_077c05e2ed1385b,321
63113000HW0339_f553c439f0df66c,153
63113000HW0447_fea2e59f91fdb80,423
63113000HV0039_20b846bf612bb8f,188
63113000IS0296_eded631e40886cd,238
63113000IT0053_bbd6e67c58c55cb,25
63113000IV0502_eae65e3e1ef7836,13
63113000IZ0107_8d00e245a41b77a,357
63113000LV0542_619fd9b0e50e04a,201
63113000KM0094_b0eb89fc3c0af75,396
63164000BV0179_212b0865c84767d,211
uf631780347484_f85e4fa47450350,249
69019000AE0021_0109f3a26ebfd0f,171
69027000BE0141_69c79fb98344cf0,190
69034000AX0391_d487c5e9822d667,188
69034000AX0410_af1b8c72824ad07,348
69069000AV0069_f7f149b2f983fd4,251
690810000B1441_33d2b4a72e691b9,465
69149000AE0150_78324bd9d061cc3,399
69149000AI0238_557ff84cd59f51e,298
69149000AI0383_6ba51ede79b52d4,286
69204000AT0264_8b35758ac44b56a,450
69204000AW0202_339d16b9ddb6671,369
692190000F0500_63659b734518047,333
69244000AS0204_3258deaf2e1f8ab,205
69259000BL0045_525db71f7a295bb,471
