batiment_groupe_id,l_annee_construction,nb_log
01427000AD0154_08829cdb88adc35,,11.0
01427000AH0633_8424cc68f9a8d6b,"[ ""2012"" ]",19.0
01427000AD0251_1fe8af3f3b10911,"[ ""2002"" ]",11.0
03310000AX0095_404e1dd219b92ad,,158.0
38138000AE0793_c77fd1d2db2f4d4,,9.0
38193000DE0359_8bbd279f08ff777,"[ ""2011"" ]",20.0
385430000C0982_acad9d0239da1de,"[ ""2014"" ]",56.0
38544000BH0016_57d34614b20c5b8,"[ ""2015"" ]",22.0
38537000AD0562_97ac671c086891d,,23.0
42218000MW0090_da73742fc610f44,"[ ""2016"" ]",81.0
42218000HT0021_b9a0c8085f6b03a,"[ ""1999"", ""1997"" ]",120.0
63032000BC0354_2590497663d8d04,,5.0
63075000AD0329_9929ff6c52acf52,"[ ""1964"" ]",6.0
63075000AE0375_91cb49ca9465798,,4.0
63075000AL0263_ecd217cd44998e4,"[ ""1957"" ]",10.0
63075000AN0236_a0ef68e4cd05e78,,4.0
63103000AM0523_eb0e9f9a6aaa03c,,4.0
63113000BY0275_32ca5c81c698d8c,"[ ""1971"" ]",4.0
63113000BZ0010_5af42d54ab33d4f,"[ ""1959"" ]",6.0
63113000EY0316_7fe47564094a2d3,"[ ""1972"" ]",0.0
63113000HO0320_26f80cbc4130226,"[ ""1973"" ]",4.0
63113000HO0341_0fc8c292b45a357,"[ ""1955"" ]",10.0
63113000HP0330_360fa334fb3ea3a,,24.0
63113000HP0591_c9f1caa0ea972fb,,7.0
63113000HR0019_1441e87fd333790,"[ ""1949"" ]",6.0
63113000HT0137_91c9253a057c9e5,"[ ""1974"" ]",8.0
63113000HV0038_3aef299b0822881,,15.0
63113000HV0083_1d51e7a5c2f5399,,6.0
63113000HV0118_bdabca173dab77f,"[ ""1951"" ]",4.0
63113000HV0119_3e3a63068b549e6,"[ ""1963"" ]",4.0
63113000HW0132_639450293b40c63,"[ ""1966"" ]",5.0
63113000HW0246_a9199d5f9e2b3a6,,11.0
63113000HW0236_56c9ab64117e7bc,"[ ""1957"" ]",8.0
63113000HW0351_3b5ecbdf3b5dcff,"[ ""1996"" ]",7.0
63113000HW0301_72f844ee9913601,"[ ""1966"" ]",6.0
63113000HW0306_2565db5c6a36e1b,,13.0
63113000HW0327_8d02dee12023a1d,"[ ""1977"" ]",13.0
63113000HV0157_5cc29fc7fa0a417,"[ ""1981"" ]",4.0
63113000HY0110_ab9dc523d14a70f,"[ ""1976"" ]",4.0
63113000HY0074_303279d3c5972c2,"[ ""1971"" ]",7.0
63113000HZ0048_066475e933ac405,"[ ""1982"" ]",11.0
63113000IK0163_2506224a78cae74,"[ ""1992"" ]",8.0
63113000IR0264_93e77817921c836,,33.0
63113000IT0183_ef3b3dd215c4623,,9.0
63113000IT0422_a4cb436465a593d,"[ ""1990"" ]",3.0
63113000KM0054_73b08c4672face8,,15.0
63113000LR0399_a57c4191b4fb560,"[ ""2014"" ]",41.0
63113000LY0483_378410582013f40,,6.0
63124000BA0333_dd5d4f322445f23,"[ ""2006"" ]",24.0
63124000BR0572_7ce14afc363d3fe,,4.0
63178000AB0446_f056531af1b8b11,,0.0
63178000AC0071_d28cdcfe59b2f34,,3.0
63178000AC0055_f1905113049e71a,"[ ""1970"" ]",12.0
63178000AC0116_f8f6f98a4142d43,,6.0
63178000AB0399_85c2794b7ccd829,,3.0
63178000AD0275_8300d8cd0d52d08,,9.0
63178000AI0091_8559a662624cd6c,,4.0
63178000AK0065_c5f90c2d6591e51,,0.0
