personne_id,siren,denomination,batiment_groupe_id
01PBD39M,522942267,PATRICK MERCIER DEVELOPPEMENT ET PARTICIPATIONS IMMOBILIERES,01427000AH0633_8424cc68f9a8d6b
03PBBP9C,U24784280,STE DES GARAGES,03310000AX0095_404e1dd219b92ad
38PBGN4W,U12751140,CAP FAMILLES,uf380530027227_bfcd5d479b3af86
38PBHPX2,829080787,JADE,38193000DE0359_8bbd279f08ff777
42PBB5R2,483213252,STUDIO 41,42218000HT0021_b9a0c8085f6b03a
42PBDS3P,810154922,LES SENIORIALES EN VILLE DE ST ETIENNE,42218000MW0090_da73742fc610f44
63P996TN,784939688,PICARD SURGELES,63113000IS0252_9770af300e2612e
63P9999V,552120222,SOCIETE GENERALE,63300000BZ0128_2bab59636400398
63PBB254,443269337,GINKO,63113000IR0246_d89a26a05ff038b
63PBB2V7,U27249665,SYNDICAT DES COPROPRIETAIRES RES LES LAURIERS,63113000LN0014_675bcba5acc0538
63PBB339,513451658,SCI MDA,63124000BS0335_bbf497252be4fa8
63PBB342,389513185,CALTHA,63113000HR0178_0496a3762417657
63PBB438,432493849,DIFRET,63113000HW0447_fea2e59f91fdb80
63PBB463,451732549,BJ2R,63113000KM0094_b0eb89fc3c0af75
63PBB46B,333327385,DE LA RUE BARATHON,63113000EN0286_70c8f1f4788f191
63PBB5B3,453981243,SCI CLAUDEL,63113000EY0317_b1c200b61bb37e9
63PBB5B6,451149025,DE LA REPUBLIQUE CLFD,63113000LV0542_619fd9b0e50e04a
63PBB63W,484221684,IMMOBILIERE D'ORMOY,63113000HP0088_d24e70a99ffe60f
63PBB655,401792247,DUMAZ,63236000AC0463_36617d50d9bb241
63PBB6J9,348850389,GARDET,63124000BR0572_7ce14afc363d3fe
63PBB6R6,483584298,REGIS YVES,63113000IT0053_bbd6e67c58c55cb
63PBB6RG,483452959,DATURA,63113000EW0030_7008719a8d7d870
63PBB73V,492014220,SCI LA COLINERIE,63113000HL0133_4b97000dc09a5a6
63PBB7M3,489320457,KELLER 93,63113000IT0414_f24e61129dc7e15
63PBB7T9,482365970,FONCIERE DI 01 2006,63113000EV0033_7cef4a6af90fa83
63PBB9FC,344017520,DE L AUBERGE DE LA PALLE,63113000HY0074_303279d3c5972c2
63PBBJJP,U27256004,MASSILLON,63113000HV0039_20b846bf612bb8f
63PBBJKD,U27260767,ORGANISME PROFESSIONNEL DE PREVENTION DU BATIMENT ET TRAVAUX,63113000HP0493_c96df6fb8603343
63PBBN23,312745201,VERCINGETORIX,63113000HR0019_1441e87fd333790
63PBBN5W,U27271372,OMNIUM CENTRAL DE GESTION,63113000EV0015_ec3ca5b24caf64d
63PBBNKN,316809748,VINCENT ET VIRGINIE,63113000HW0327_8d02dee12023a1d
63PBBNPR,306647173,SOCIETE DE LA VALLEE,63075000AL0704_2081f7026f9f981
63PBBNX8,U27289185,SCI RESIDENCE BERLIOZ,63113000KL0214_811efdd22e60d94
63PBBPKH,U27209770,ASS CULTUELLE ISRAELITE DE CLERMONT FERRAND,63113000IV0502_eae65e3e1ef7836
63PBBPP5,U27218546,STE CIVILE IMMOBILIERE GIROD 12,63113000HO0311_53bbf8cf20c58a9
63PBBQ5D,353820087,SCI LE BOIS,63075000AD0329_9929ff6c52acf52
63PBBQ66,378147144,SCI COTE COUR,63113000IZ0107_8d00e245a41b77a
63PBBQ97,330620386,ANATOLE FRANCE KINESITHERAPIE,63113000ES0079_09900a7d9f6ca29
63PBBQCD,340923994,SCI STEPHANIE,63113000KR0364_677eb9fd05845ab
63PBBSZF,392729323,ARNO,63113000IK0163_2506224a78cae74
63PBBTW3,400514840,FAGIP,63113000HV0038_3aef299b0822881
63PBBV3H,408450633,ALIZE,63113000IT0183_ef3b3dd215c4623
63PBBVFG,404268229,PORCAI PIC,63113000IT0027_edbdcc9455ec027
63PBBVQ8,408611036,E F D,63113000HW0351_3b5ecbdf3b5dcff
63PBBWBN,414122267,LE COLOMBIER,63164000BV0179_212b0865c84767d
63PBBX64,433502473,DELILLE 7,63113000HY0110_ab9dc523d14a70f
63PBBXHW,424024297,SCI MAMOGE 3 - GARDIENS,63113000IZ0153_1136dddbed3e6db
63PBBXT7,429687627,BELLEVUE,63113000HW0163_ecebe6927ed4207
63PBC258,435364591,SCI LIBERTE,63300000BW0557_52d29812bf20139
63PBC2FF,342030855,WILFRIED,63245000AM0754_312938a2eaf9d80
63PBC2ZB,423782390,CENTRE SUD SA,63300000BW0222_bc8f564681ba98a
63PBC564,483225009,PEP,63300000BW0076_28ef05c0ec96628
63PBC6GV,453875288,SCI LES BLAMORES,63300000CE0180_7fd65f9bd2fa00b
63PBCC6V,498124528,PAGES IMMOBILIER,63113000IS0296_eded631e40886cd
63PBCC7L,483384434,SCI LE MAZEL,63113000EO1246_6009e3c3b8bb021
63PBCCLS,493118210,SCI LONI 63,63113000HW0306_2565db5c6a36e1b
63PBCD9R,487530099,NEXITY LAMY,63113000HW0132_639450293b40c63
63PBCDVS,500295472,PUY VINIFERA,63113000HT0137_91c9253a057c9e5
63PBCFCH,505071571,SCI FRAPAMA,63113000IV0132_50d1312b76266ee
63PBCLWN,317685014,SGI,63178000AZ0048_94bff79a7a8d4c6
63PBCPS8,U27129027,SCI P C,63178000AE0112_e0e2b94f3d25c64
63PBCRJQ,417503612,CASSIERE MICHEL,63178000AL0368_974b70911f8afad
63PBD249,813203452,LE MONT PALATIN,63113000LP0571_5e4a36a1b03dbc6
63PBD3LZ,813985371,SCI AUGUSTE AUDOLLENT,63113000HV0157_5cc29fc7fa0a417
63PBD3XG,815141106,INF ORADOU,63113000ET0359_67ec27348ab7374
63PBD3ZT,811769678,ILEX,uf631780311064_f7baa1e4e3f601a
63PBD5W5,814276630,GAUMET ET CIE,63113000HV0040_c990b96f1d53000
63PBD5Z6,823123724,LEMAFAMILY,63113000KM0054_73b08c4672face8
63PBD64Z,829997428,JADE ET JULES,63124000AN0275_700dca626aaa355
63PBD7KG,832593164,SCI ROBIN,63113000BZ0036_1e9084fb334d5b4
63PBD9FB,451590236,M C,63178000AC0055_f1905113049e71a
63PBD9XG,843390246,SCI SEBASTIEN ET CO,63113000ER0016_a19027c42028d72
63PBDL3Z,509032363,PHONERIFE,63300000BW0167_c5471718a546586
63PBDMRX,512586777,AMARYLLIS,63178000AK0266_bad50066698945a
63PBDP63,483642427,SCI GAMONE,63308000AI0437_12a40486d3199dc
63PBDPT3,523058915,LONA,63113000EV0190_e3708b934e0fc6a
63PBDPXD,350782652,DU 16 BD DE LA SOUS PREFECTURE,63178000AC0095_4d53946f64a8dc8
63PBDQBJ,528950074,SCI 2BG,63113000HV0164_9f46efbe0228cef
63PBDQKK,394411813,PACE,63113000AI0205_22323e49761cdb6
63PBDS7K,750913683,SCI CRISTAL,63113000EK0535_ad6a87ebfa6f273
63PBDS82,750740102,RBVL,63113000IR0264_93e77817921c836
63PBDSBB,537619876,J2C,63113000HW0246_a9199d5f9e2b3a6
63PBDSRC,749934519,SCI SAINT YVES,63300000BX0180_34afdb07c025160
63PBDTNG,443183157,MONBLAN,63113000HP0330_360fa334fb3ea3a
63PBDV23,345345953,LAGRANGE IMMOBILIER,63124000AZ0151_636ba1cc6aa0a62
63PBDWBR,388883688,SCI PYTHAGORE,63113000HZ0048_066475e933ac405
63PBDWTM,794110551,SCI FLOCLA,63113000IT0180_38729015a73c658
63PBDZPX,802393868,SCI PEROGIS,63113000LS0276_2d85f6baf5b1189
63PBDZTB,344186176,RELAIS DEPARTEMENTAL DES GITES DE FRANCE DU PUY- DE- DOME,63113000HV0083_1d51e7a5c2f5399
63PBDZWQ,807925615,SCI DES LACS ET DES COUZES,63178000AI0157_0c69b094c43019f
63PBFBJG,849087077,SCI DES CHATS,63113000IT0054_02f98692b7fada6
63PBFBVC,842804932,ANALOU,63113000EV0287_018898ae769af79
69P996GX,333384311,BPCE LEASE IMMO,uf693820152347_50ddfd71bcad815
69P9993N,303336119,SOCIETE LAMY,69385000AY0127_1bc403c2f72cbff
69P999PG,387472905,PATHE LYON,69382000AL0015_a2a63f70c0bfc49
69PBB23T,379969876,KHEOPS III,69381000AP0169_7c37a0a412833a5
69PBB24C,381122886,RENAT,69388000AD0018_a0691fabc1b6383
69PBB27C,379264278,LES 3 A,69383000AZ0188_2f26bc04607278c
